checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Auto (nuevo),1295,< 100 DM,< 1 año,3,Mujer: divorciada/separada/casada,Ninguno,1,Auto u otro,25,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,48,Créditos existentes pagados hasta ahora,Negocios,4308,< 100 DM,< 1 año,3,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,24,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,1567,< 100 DM,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,1,Auto u otro,22,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,24,Cuenta crítica / Otros créditos,Auto (nuevo),1199,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,60,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Mal Pagador
< 0 DM,15,Créditos existentes pagados hasta ahora,Auto (nuevo),1403,< 100 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,28,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Radio/TV,1282,100 - 500 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,32,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Radio/TV,2424,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,53,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,30,Sin créditos / Todos pagados,Negocios,8072,Desconocido / Sin ahorros,< 1 año,2,Hombre: soltero,Ninguno,3,Auto u otro,25,Banco,Propia,3,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,24,Créditos existentes pagados hasta ahora,Auto (usado),12579,< 100 DM,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Desconocido / Sin propiedad,44,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,3430,500 - 1000 DM,>= 7 años,3,Hombre: soltero,Ninguno,2,Auto u otro,31,Ninguno,Propia,1,Empleado calificado / oficial,2,Sí,Sí,Buen Pagador
Sin cuenta,9,Cuenta crítica / Otros créditos,Auto (nuevo),2134,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Auto u otro,48,Ninguno,Propia,3,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Radio/TV,2647,500 - 1000 DM,1 - 4 años,2,Hombre: soltero,Ninguno,3,Bienes raíces,44,Ninguno,Alquiler,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,10,Cuenta crítica / Otros créditos,Auto (nuevo),2241,< 100 DM,< 1 año,1,Hombre: soltero,Ninguno,3,Bienes raíces,48,Ninguno,Alquiler,2,No calificado - residente,2,No,No,Buen Pagador
0 - 200 DM,12,Cuenta crítica / Otros créditos,Auto (usado),1804,100 - 500 DM,< 1 año,3,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,44,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,10,Cuenta crítica / Otros créditos,Muebles/Equipo,2069,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: casado/viudo,Ninguno,1,Auto u otro,26,Ninguno,Propia,2,Empleado calificado / oficial,1,No,No,Buen Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Muebles/Equipo,1374,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,2,Bienes raíces,36,Banco,Propia,1,No calificado - residente,1,Sí,Sí,Buen Pagador
Sin cuenta,6,Sin créditos / Todos pagados,Radio/TV,426,< 100 DM,>= 7 años,4,Hombre: casado/viudo,Ninguno,4,Auto u otro,39,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
>= 200 DM,12,Todos los créditos en este banco pagados,Radio/TV,409,>= 1000 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,3,Bienes raíces,42,Ninguno,Alquiler,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,7,Créditos existentes pagados hasta ahora,Radio/TV,2415,< 100 DM,1 - 4 años,3,Hombre: soltero,Garante,2,Bienes raíces,34,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,60,Retraso en pagos en el pasado,Negocios,6836,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,63,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Negocios,1913,>= 1000 DM,< 1 año,3,Hombre: casado/viudo,Ninguno,3,Bienes raíces,36,Banco,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,4020,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,27,Tiendas,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Auto (nuevo),5866,100 - 500 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,30,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Negocios,1264,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,57,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
>= 200 DM,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,1474,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,33,Banco,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,45,Cuenta crítica / Otros créditos,Radio/TV,4746,< 100 DM,< 1 año,4,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,25,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,48,Cuenta crítica / Otros créditos,Educación,6110,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,3,Desconocido / Sin propiedad,31,Banco,Gratis,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
>= 200 DM,18,Créditos existentes pagados hasta ahora,Radio/TV,2100,< 100 DM,1 - 4 años,4,Hombre: soltero,Co-solicitante,2,Bienes raíces,37,Tiendas,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
>= 200 DM,10,Créditos existentes pagados hasta ahora,Electrodomésticos,1225,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,37,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Radio/TV,458,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,3,Bienes raíces,24,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,30,Créditos existentes pagados hasta ahora,Radio/TV,2333,500 - 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,2,Auto u otro,30,Banco,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,1158,500 - 1000 DM,1 - 4 años,3,Hombre: divorciado/separado,Ninguno,1,Auto u otro,26,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,18,Retraso en pagos en el pasado,Reparaciones,6204,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,4,Bienes raíces,44,Ninguno,Propia,1,No calificado - residente,2,Sí,Sí,Buen Pagador
< 0 DM,30,Cuenta crítica / Otros créditos,Auto (usado),6187,100 - 500 DM,4 - 7 años,1,Hombre: casado/viudo,Ninguno,4,Auto u otro,24,Ninguno,Alquiler,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,48,Cuenta crítica / Otros créditos,Auto (usado),6143,< 100 DM,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,58,Tiendas,Gratis,2,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,11,Cuenta crítica / Otros créditos,Auto (nuevo),1393,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,35,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Buen Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Radio/TV,2299,500 - 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,39,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,6,Créditos existentes pagados hasta ahora,Auto (usado),1352,500 - 1000 DM,Desempleado,1,Mujer: divorciada/separada/casada,Ninguno,2,Seguro de vida / Ahorro para vivienda,23,Ninguno,Alquiler,1,No calificado - no residente,1,Sí,Sí,Buen Pagador
Sin cuenta,11,Cuenta crítica / Otros créditos,Auto (nuevo),7228,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,39,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Radio/TV,2073,100 - 500 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Co-solicitante,2,Bienes raíces,28,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,24,Retraso en pagos en el pasado,Muebles/Equipo,2333,Desconocido / Sin ahorros,< 1 año,4,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,29,Banco,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,27,Retraso en pagos en el pasado,Auto (usado),5965,< 100 DM,>= 7 años,1,Hombre: soltero,Ninguno,2,Auto u otro,30,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Radio/TV,1262,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,2,Auto u otro,25,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,18,Créditos existentes pagados hasta ahora,Auto (usado),3378,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: soltero,Ninguno,1,Seguro de vida / Ahorro para vivienda,31,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,36,Retraso en pagos en el pasado,Auto (nuevo),2225,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,57,Banco,Gratis,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,6,Todos los créditos en este banco pagados,Auto (nuevo),783,Desconocido / Sin ahorros,1 - 4 años,1,Hombre: soltero,Garante,2,Bienes raíces,26,Tiendas,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,6468,Desconocido / Sin ahorros,Desempleado,2,Hombre: soltero,Ninguno,1,Desconocido / Sin propiedad,52,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
Sin cuenta,36,Cuenta crítica / Otros créditos,Radio/TV,9566,< 100 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,31,Tiendas,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
>= 200 DM,18,Créditos existentes pagados hasta ahora,Auto (nuevo),1961,< 100 DM,>= 7 años,3,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,23,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Buen Pagador
< 0 DM,36,Cuenta crítica / Otros créditos,Muebles/Equipo,6229,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Co-solicitante,4,Desconocido / Sin propiedad,23,Ninguno,Alquiler,2,No calificado - residente,1,Sí,Sí,Mal Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Negocios,1391,< 100 DM,1 - 4 años,2,Hombre: casado/viudo,Ninguno,1,Bienes raíces,27,Banco,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,15,Cuenta crítica / Otros créditos,Radio/TV,1537,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Garante,4,Bienes raíces,50,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,36,Sin créditos / Todos pagados,Negocios,1953,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,61,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
0 - 200 DM,48,Sin créditos / Todos pagados,Negocios,14421,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,25,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,3181,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,26,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,27,Créditos existentes pagados hasta ahora,Reparaciones,5190,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,48,Ninguno,Propia,4,Empleado calificado / oficial,2,Sí,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Radio/TV,2171,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,29,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Auto (nuevo),1007,>= 1000 DM,1 - 4 años,4,Hombre: casado/viudo,Ninguno,1,Bienes raíces,22,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Educación,1819,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,37,Tiendas,Gratis,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Radio/TV,2394,Desconocido / Sin ahorros,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,25,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Auto (usado),8133,< 100 DM,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,2,Seguro de vida / Ahorro para vivienda,30,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,7,Cuenta crítica / Otros créditos,Radio/TV,730,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,46,Ninguno,Alquiler,2,No calificado - residente,1,Sí,Sí,Buen Pagador
< 0 DM,8,Cuenta crítica / Otros créditos,Otros,1164,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,51,Banco,Gratis,2,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Buen Pagador
0 - 200 DM,42,Cuenta crítica / Otros créditos,Negocios,5954,< 100 DM,4 - 7 años,2,Mujer: divorciada/separada/casada,Ninguno,1,Bienes raíces,41,Banco,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,36,Créditos existentes pagados hasta ahora,Educación,1977,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,40,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
< 0 DM,12,Cuenta crítica / Otros créditos,Auto (usado),1526,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,66,Ninguno,Gratis,2,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Buen Pagador
< 0 DM,42,Créditos existentes pagados hasta ahora,Radio/TV,3965,< 100 DM,< 1 año,4,Hombre: soltero,Ninguno,3,Auto u otro,34,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,11,Retraso en pagos en el pasado,Radio/TV,4771,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,51,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,54,Sin créditos / Todos pagados,Auto (usado),9436,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,39,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
0 - 200 DM,30,Créditos existentes pagados hasta ahora,Muebles/Equipo,3832,< 100 DM,< 1 año,2,Hombre: casado/viudo,Ninguno,1,Seguro de vida / Ahorro para vivienda,22,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,5943,Desconocido / Sin ahorros,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,1,Auto u otro,44,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,15,Créditos existentes pagados hasta ahora,Radio/TV,1213,500 - 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,47,Tiendas,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,18,Créditos existentes pagados hasta ahora,Negocios,1568,100 - 500 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,24,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Otros,1755,< 100 DM,>= 7 años,4,Mujer: divorciada/separada/casada,Garante,4,Bienes raíces,58,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Buen Pagador
< 0 DM,10,Créditos existentes pagados hasta ahora,Radio/TV,2315,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Bienes raíces,52,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Negocios,1412,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Garante,2,Bienes raíces,29,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,18,Cuenta crítica / Otros créditos,Muebles/Equipo,1295,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,1,Seguro de vida / Ahorro para vivienda,27,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Educación,12612,100 - 500 DM,1 - 4 años,1,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,47,Ninguno,Gratis,1,Empleado calificado / oficial,2,Sí,Sí,Mal Pagador
< 0 DM,18,Créditos existentes pagados hasta ahora,Auto (nuevo),2249,100 - 500 DM,4 - 7 años,4,Hombre: soltero,Ninguno,3,Auto u otro,30,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Buen Pagador
< 0 DM,12,Sin créditos / Todos pagados,Reparaciones,1108,< 100 DM,4 - 7 años,4,Hombre: soltero,Ninguno,3,Bienes raíces,28,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Radio/TV,618,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,56,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,12,Cuenta crítica / Otros créditos,Auto (usado),1409,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,3,Bienes raíces,54,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Radio/TV,797,Desconocido / Sin ahorros,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,3,Seguro de vida / Ahorro para vivienda,33,Banco,Propia,1,No calificado - residente,2,No,Sí,Mal Pagador
>= 200 DM,24,Cuenta crítica / Otros créditos,Muebles/Equipo,3617,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Co-solicitante,4,Desconocido / Sin propiedad,20,Ninguno,Alquiler,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Auto (nuevo),1318,>= 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,54,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,54,Sin créditos / Todos pagados,Negocios,15945,< 100 DM,< 1 año,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,58,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Educación,2012,Desconocido / Sin ahorros,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,61,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Negocios,2622,100 - 500 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Auto u otro,34,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,36,Cuenta crítica / Otros créditos,Radio/TV,2337,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,36,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,20,Retraso en pagos en el pasado,Auto (usado),7057,Desconocido / Sin ahorros,4 - 7 años,3,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,36,Banco,Alquiler,2,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Auto (nuevo),1469,100 - 500 DM,>= 7 años,4,Hombre: casado/viudo,Ninguno,4,Bienes raíces,41,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Radio/TV,2323,< 100 DM,4 - 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,24,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,6,Retraso en pagos en el pasado,Radio/TV,932,< 100 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,2,Bienes raíces,24,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,9,Cuenta crítica / Otros créditos,Muebles/Equipo,1919,< 100 DM,4 - 7 años,4,Hombre: soltero,Ninguno,3,Auto u otro,35,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Auto (usado),2445,Desconocido / Sin ahorros,< 1 año,2,Hombre: casado/viudo,Ninguno,4,Auto u otro,26,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,24,Cuenta crítica / Otros créditos,Otros,11938,< 100 DM,1 - 4 años,2,Hombre: soltero,Co-solicitante,3,Auto u otro,39,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Mal Pagador
Sin cuenta,18,Todos los créditos en este banco pagados,Auto (nuevo),6458,< 100 DM,>= 7 años,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,39,Banco,Propia,2,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Mal Pagador
